# Enhanced Star Wars Script with Scene Context
# Format: CHARACTER | DIALOGUE | CONTEXT | MOVIE

STAR WARS | “A long time ago, in a galaxy far, far away…” | Action: A vast sea of stars serves as the backdrop for the main title. War | Star Wars A New Hope
HALLWAY | A trooper runs through the hallway heading for the exit. In a few | Scene: every part of this ship checked!  MILLENNIUM FALCON – | Action: OFFICER Get me a scanning crew in here on the double. I want every part of this ship checked! INT. MILLENNIUM FALCON – | Star Wars A New Hope
HALLWAY | Several Imperial officers walk through the wide main passageway. | Scene: takes off through a vacuum tube.  DEATH STAR – MAIN | Action: The door to the pod-like vehicle slides closed and the elevator car takes off through a vacuum tube. INT. DEATH STAR – MAIN | Star Wars A New Hope
SERVICE PANEL | THREEPIO Thank goodness, they haven’t found them! | Scene: LEIA I’m trying!  DEATH STAR – MAIN FORWARD BAY – | Action: Leia) Get on top of it! LEIA I’m trying! INT. DEATH STAR – MAIN FORWARD BAY – | Star Wars A New Hope
PANEL | Muffled sounds of Luke’s voice over the comlink can be heard, but | Scene: belt.  DEATH STAR – MAIN FORWARD BAY – SERVICE | Action: the rising ooze. Luke’s comlink begins to buzz and he rips it off his belt. INT. DEATH STAR – MAIN FORWARD BAY – SERVICE | Star Wars A New Hope
SERVICE PANEL | THREEPIO We’ve had some problems… | Scene: LUKE Threepio!  DEATH STAR – MAIN FORWARD BAY – | Action: LUKE Threepio! INT. DEATH STAR – MAIN FORWARD BAY – LUKE (over comlink) Shut down all the garbage mashers on the | Star Wars A New Hope
GARBAGE ROOM | The screaming and hollering is the sound of joyous relief. The walls | Scene: LUKE (over comlink) Threepio, we’re all right!  DEATH STAR – | Action: body! I wasn’t fast enough. It’s all my fault! My poor master! LUKE (over comlink) Threepio, we’re all right! INT. DEATH STAR – | Star Wars A New Hope
SUBHALLWAY | Luke fires his laser pistol wildly as he and Leia rush down a narrow | Scene: turns and starts running the other way also.  DEATH STAR – | Action: for his life, followed by a host of furious stormtroopers. Chewbacca turns and starts running the other way also. INT. DEATH STAR – | Star Wars A New Hope
NARROW PASSAGEWAY | Ben hides in the shadows of a narrow passageway as several | Scene: before ducking into the tiny subhallway.  DEATH STAR – | Action: hatch and begin to fire at the escaping duo. Luke returns the fire before ducking into the tiny subhallway. INT. DEATH STAR – | Star Wars A New Hope
SHIELDS DOOR | Han and Chewbacca run down a long corridor with several troopers | Scene: beeping a response.  DEATH STAR – CORRIDOR – BLAST | Action: Artoo, plugged into the computer socket, turns his dome left and right, beeping a response. INT. DEATH STAR – CORRIDOR – BLAST | Star Wars A New Hope
MAIN FORWARD BAY | Han Solo and Chewbacca, their weapons in hand, lean back against | Scene: Their lightsabers continue to meet in combat.  DEATH STAR – | Action: more powerful than you can possibly imagine. Their lightsabers continue to meet in combat. INT. DEATH STAR – | Star Wars A New Hope
GUNPORT | Han adjusts his headset as he sits before the controls of his laser | Scene: either side of the ship.  MILLENNIUM FALCON – SOLO’S | Action: of the two main laser cannons mounted in large rotating turrets on either side of the ship. INT. MILLENNIUM FALCON – SOLO’S | Star Wars A New Hope
COCKPIT | Luke sits in readiness for the attack, his hand on the laser cannon’s | Scene: reaches for controls.  MILLENNIUM FALCON – GUNPORT – | Action: Computer graphic readouts form on Solo’s target screen, as Han reaches for controls. INT. MILLENNIUM FALCON – GUNPORT – | Star Wars A New Hope
GUNPORTS | A TIE fighter maneuvers in front of Han, who follows it and fires at it | Scene: and then comes back on.  MILLENNIUM FALCON – COCKPIT – | Action: pirateship bounces and vibrates as the power goes out in the room and then comes back on. INT. MILLENNIUM FALCON – COCKPIT – | Star Wars A New Hope
SPACE | Luke fires at an unseen fighter. | Scene: Two TIE fighters dive down toward the pirateship.  MILLENNIUM | Action: Two TIE fighters dive down toward the pirateship. INT. MILLENNIUM LUKE They’re coming in too fast! EXT. SPACE – MILLENNIUM | Star Wars A New Hope
GUNPORTS | Leia watches the computer readout as Chewbacca manipulates the | Scene: THREEPIO Oooh!  MILLENNIUM FALCON – COCKPIT – | Action: THREEPIO Oooh! INT. MILLENNIUM FALCON – COCKPIT – ship’s controls. | Star Wars A New Hope
GUNPORTS | Luke fires at a TIE fighter. At his port, Han follows a fighter in his | Scene: A TIE fighter dives past the pirateship.  MILLENNIUM FALCON – | Action: from his cannon. EXT. TIE FIGHTER A TIE fighter dives past the pirateship. INT. MILLENNIUM FALCON – | Star Wars A New Hope
OUTPOST | An alert guard, his laser gun in hand, scans the countryside. He sets | Scene: The pirateship soars over the dense jungle.  MASSASSI | Action: The pirateship soars over the dense jungle. EXT. MASSASSI the gun down and looks toward the temple, barely visible in the | Star Wars A New Hope
SPACE | The surface of the Death Star ominously approaches the red planet | Action: only explanation for the ease of our escape. You must use the information in this R2 unit to plan the attack. It is our only hope. EXT. | Star Wars A New Hope
ROOM | The princess, Threepio, and a field commander sit quietly before the | Scene: into the  cloud cover.  MASSASSI OUTPOST – WAR | Action: starships catapult from the foliage in a tight formation and disappear into the morning cloud cover. INT. MASSASSI OUTPOST – WAR | Star Wars A New Hope
ANGLE | Light from a distant sun creates an eerie atmospheric glow around a | Scene: zoom toward us and out of the frame.  SPACE – ANOTHER | Action: Yavin in the foreground, as many X-wing fighters flying in formation zoom toward us and out of the frame. EXT. SPACE – ANOTHER | Star Wars A New Hope
COCKPIT | RED ELEVEN Red Eleven standing by. | Scene: WEDGE Red Two standing by.  LUKE’S X - WING FIGHTER – | Action: WEDGE Red Two standing by. INT. LUKE’S X-WING FIGHTER – LUKE Red Five standing by. EXT. LUKE’S X-WING FIGHTER | Star Wars A New Hope
COCKPIT | Luke adjusts his controls as he concentrates on the approaching | Scene: RED LEADER Hold tight!  LUKE’S X - WING FIGHTER – | Action: field. INT. RED LEADER’S COCKPIT RED LEADER Hold tight! INT. LUKE’S X-WING FIGHTER – | Star Wars A New Hope
ANOTHER COCKPIT | The fighters, now X-shaped darts, move in formation. The Death Star | Scene: RED LEADER (over headset) Double front!  SPACE | Action: RED LEADER (over headset) Switch your deflectors on. INT. RED LEADER (over headset) Double front! EXT. SPACE | Star Wars A New Hope
SPACE | As the fighters move closer to the Death Star, the awesome size of | Scene: RED LEADER (over headset) Cut the chatter, Red Two.  RED | Action: RED LEADER Accelerate to attack speed. This is it, boys! EXT. the gargantuan Imperial fortress is revealed. Half of the deadly space | Star Wars A New Hope
STAR | Technical crews scurry here and there loading last-minute | Scene: An X - wing zooms across the surface of the Death Star.  DEATH | Action: RED LEADER (over speaker) I see it. Stay low. EXT. SPACE An X-wing zooms across the surface of the Death Star. INT. DEATH | Star Wars A New Hope
SPACE | Luke nosedives radically, starting his attack on the monstrous | Scene: armaments and unlocking power cables.  WEDGE’S COCKPIT | Action: X-wings continue in their attack course on the Death Star. INT. fortress. The Death Star surface streaks past the cockpit window. | Star Wars A New Hope
STAR | Luke’s ship emerges from the fireball, with the leading edges of his | Scene: BIGGS (over headset) Luke, pull up!  SURFACE OF DEATH | Action: in time to avoid the fireball. BIGGS (over headset) Luke, pull up! EXT. SURFACE OF DEATH | Star Wars A New Hope
COCKPIT | Luke adjusts his controls and breathes a sigh of relief. Flak bursts | Scene: BIGGS Are you all right?  LUKE’S X - WING FIGHTER – | Action: wings slightly scorched. INT. BIGGS’ COCKPIT BIGGS Are you all right? INT. LUKE’S X-WING FIGHTER – | Star Wars A New Hope
DEATH STAR | Rebel fighters continue to strafe the Death Star’s surface with | Scene: LUKE I got a little cooked, but I’m okay.  SURFACE OF THE | Action: outside the cockpit window. LUKE I got a little cooked, but I’m okay. EXT. SURFACE OF THE | Star Wars A New Hope
ROOM | Princess Leia, surrounded by her generals and aides, paces | Scene: that lead to Imperial TIE fighters.  MASSASSI OUTPOST – WAR | Action: Imperial star pilots dash in unison to a line of small auxiliary hatches that lead to Imperial TIE fighters. INT. MASSASSI OUTPOST – WAR | Star Wars A New Hope
SURFACE OF THE DEATH STAR | Silhouetted against the rim lights of the Death Star horizon, four | Action: RED LEADER Keep up your visual scanning. With all this jamming, they’ll be on top of you before your scope can pick them up. EXT. | Star Wars A New Hope
DEATH STAR | Biggs zooms off the surface and into space, closely followed by an | Scene: BIGGS I can’t see it! Where is he?!  SPACE AROUND THE | Action: RED LEADER Biggs! You’ve picked one up… watch it! BIGGS I can’t see it! Where is he?! EXT. SPACE AROUND THE | Star Wars A New Hope
SPACE AROUND THE DEATH STAR | Biggs, flying at high altitude, peels off and dives toward the Death | Scene: misses.  BIGGS’ COCKPIT – TRAVELING | Action: BIGGS He’s on me tight, I can’t shake him… I can’t shake him. EXT. Star surface, but he is unable to lose the TIE fighter, who sticks close | Star Wars A New Hope
DEATH STAR | Biggs and the tailing TIE ship dive for the surface, now followed by a | Scene: LUKE Hang on, Biggs, I’m coming in.  SPACE AROUND THE | Action: attitude as he comes out of his dive. LUKE Hang on, Biggs, I’m coming in. EXT. SPACE AROUND THE | Star Wars A New Hope
COCKPIT | Luke looks out of his cockpit at the flames on his ship. | Scene: out on the right side of the X - wing.  LUKE’S X - WING FIGHTER – | Action: The Imperial TIE fighter pilot scores a hit on Luke’s ship. Fire breaks out on the right side of the X-wing. INT. LUKE’S X-WING FIGHTER – | Star Wars A New Hope
STAR | Wedge dives across the horizon toward Luke and the TIE | Scene: WEDGE (over headset) Hold on!  SURFACE OF THE DEATH | Action: WEDGE I’m on him, Luke! INT. LUKE’S X-WING – COCKPIT WEDGE (over headset) Hold on! EXT. SURFACE OF THE DEATH | Star Wars A New Hope
COCKPIT | Luke reacts frantically. | Scene: Wedge moves his X - wing in rapidly.  LUKE’S X - WING – | Action: fighter. INT. WEDGE’S COCKPIT Wedge moves his X-wing in rapidly. INT. LUKE’S X-WING – | Star Wars A New Hope
COCKPIT | The fighter pilot watches Wedge’s X-wing approach. Another X-wing | Scene: LUKE Blast it! Wedge where are you?  TIE FIGHTER – | Action: Luke reacts frantically. LUKE Blast it! Wedge where are you? INT. TIE FIGHTER – | Star Wars A New Hope
COCKPIT | Luke looks about in relief. | Scene: ship can be seen far in the distance.  LUKE’S X - WING – | Action: The TIE fighter explodes, filling the screen with white light. Luke’s ship can be seen far in the distance. INT. LUKE’S X-WING – | Star Wars A New Hope
ROOM | Technicians are seated at the computer readout table. | Scene: VADER Stay in attack formation!  MASSASSI OUTPOST – WAR | Action: the window above his head. VADER Stay in attack formation! INT. MASSASSI OUTPOST – WAR | Star Wars A New Hope
THE DEATH STAR | Gold Leader approaches the surface and pulls out to skim the surface | Scene: GOLD LEADER … marked and locked in!  SPACE AROUND | Action: GOLD LEADER … marked and locked in! EXT. SPACE AROUND of the huge station. The ship moves into a deep trench, firing | Star Wars A New Hope
SURFACE OF THE DEATH STAR | Three Y-wing skim the Death Star surface deep in the trench, as | Action: occasionally exploding near the ship causing it to bounce about. GOLD LEADER Switch power to front deflection screens. EXT. | Star Wars A New Hope
GUN EMPLACEMENTS | An exterior surface gun blazes away at the oncoming Rebel | Scene: laserbolts streak past on all sides.  DEATH STAR SURFACE – | Action: Three Y-wing skim the Death Star surface deep in the trench, as laserbolts streak past on all sides. EXT. DEATH STAR SURFACE – | Star Wars A New Hope
COCKPIT | Gold Leader pulls his computer targeting device down in front of his | Scene: through a hail of laserfire.  GOLD LEADER’S Y - WING – | Action: The three Y-wing fighters race toward camera and zoom overhead through a hail of laserfire. INT. GOLD LEADER’S Y-WING – | Star Wars A New Hope
COCKPIT | Gold Five looks behind him. | Scene: Two Y - wings zoom down the Death Star trench.  GOLD FIVE’S | Action: Two Y-wings zoom down the Death Star trench. EXT. GOLD FIVE’S GOLD FIVE Stabilize your rear deflectors. Watch for enemy | Star Wars A New Hope
SPACE AROUND THE DEATH STAR | Three Imperial TIE ships, Darth Vader in the center flanked by two | Scene: fighters.  GOLD LEADER’S Y - WING – COCKPIT | Action: fighters. INT. GOLD LEADER’S Y-WING – COCKPIT GOLD LEADER They’ve coming in! Three marks at two ten. EXT. | Star Wars A New Hope
THE DEATH STAR SURFACE | Vader lines up Gold Two in his targeting computer. Vader’s hands | Scene: WINGMAN’S VOICE (over speaker) Yes, sir.  SPACE AROUND | Action: Three TIE fighters zoom across the surface of the Death Star. INT. grip the control stick as he presses the button. INT. GOLD LEADER’S | Star Wars A New Hope
TRENCH | The three TIE fighters race along in the trench in a tight | Scene: Gold Leader looks over his shoulder at the scene.  DEATH STAR | Action: Gold Leader looks over his shoulder at the scene. INT. DEATH STAR formation. INT. GOLD LEADER’S Y-WING – COCKPIT | Star Wars A New Hope
COCKPIT | The Death Star races by outside the cockpit window as he adjusts his | Scene: GOLD FIVE Stay on target.  GOLD LEADER’S Y - WING – | Action: Gold Five, the old veteran, tries to calm Gold Leader. GOLD FIVE Stay on target. INT. GOLD LEADER’S Y-WING – | Star Wars A New Hope
COCKPIT | The older pilot remains calm. | Scene: GOLD LEADER We’re too close.  GOLD FIVE’S Y - WING – | Action: targeting device. GOLD LEADER We’re too close. INT. GOLD FIVE’S Y-WING – | Star Wars A New Hope
COCKPIT | Now he’s really panicked. | Scene: GOLD FIVE Stay on target!  GOLD LEADER’S Y - WING – | Action: The older pilot remains calm. GOLD FIVE Stay on target! INT. GOLD LEADER’S Y-WING – | Star Wars A New Hope
DEATH STAR | Gold Leader explodes in a ball of flames, throwing debris in all | Scene: Gold Leader’s ship is hit by Vader’s lasers.  SURFACE OF THE | Action: button. INT. GOLD LEADER’S Y-WING – COCKPIT Gold Leader’s ship is hit by Vader’s lasers. EXT. SURFACE OF THE | Star Wars A New Hope
DEATH STAR | One of the engines explodes on Gold Five’s Y-wing fighter, blazing | Scene: GOLD FIVE They came from behind….  SURFACE OF THE | Action: GOLD FIVE They came from behind…. EXT. SURFACE OF THE out of control. He dives past the horizon toward the Death Star’s | Star Wars A New Hope
COCKPIT | DODONNA Red Leader, this is Base One. Keep half | Scene: BIGGS (over speaker) Red Three, standing by.  RED LEADER’S | Action: WEDGE (over speaker) This is Red Two. Flying towards you. BIGGS (over speaker) Red Three, standing by. INT. RED LEADER’S | Star Wars A New Hope
STAR | Two X-wings move across the surface of the Death Star. Red | Scene: Luke peers out from his cockpit.  SURFACE OF THE DEATH | Action: Luke peers out from his cockpit. EXT. SURFACE OF THE DEATH Leader’s X-wing drops down to the surface leading to the exhaust | Star Wars A New Hope
EMPLACEMENTS | A huge remote-control laser cannon fires at the approaching Rebel | Scene: across the black heavens.  DEATH STAR SURFACE – GUN | Action: Red Leader roams down the trench of the Death Star as lasers streak across the black heavens. EXT. DEATH STAR SURFACE – GUN | Star Wars A New Hope
COCKPIT | Red Ten looks around for the Imperial fighters. | Scene: The Rebel fighters evade the Imperial laser blasts.  RED TEN’S | Action: fighters. EXT. DEATH STAR TRENCH The Rebel fighters evade the Imperial laser blasts. INT. RED TEN’S | Star Wars A New Hope
STAR TRENCH | Three X-wing fighters move in formation down the Death Star trench. | Scene: RED TEN There’s too much interference!  SPACE – DEATH | Action: RED TEN There’s too much interference! EXT. SPACE – DEATH RED TEN’S VOICE Red Five, can you see them from where you | Star Wars A New Hope
SPACE AROUND THE DEATH STAR | Grimly, Red Leader takes careful aim and watches his computer | Scene: Red Ten’s ship explodes and bursts into flames.  RED | Action: Red Ten’s ship explodes and bursts into flames. INT. RED targeting device, which shows the target lined up in the cross hairs, | Star Wars A New Hope
COCKPIT | Red Leader looks back at the receding Death Star. Tiny explosions | Scene: RED LEADER (over speaker) Negative.  RED LEADER’S | Action: RED NINE’S VOICE (over speaker) It’s a hit! RED LEADER (over speaker) Negative. INT. RED LEADER’S | Star Wars A New Hope
COCKPIT | LUKE Red Leader, we’re right above you. Turn to | Scene: Vader swings his ship around for the next kill.  RED LEADER’S | Action: Death Star horizon. INT. DARTH VADER’S COCKPIT Vader swings his ship around for the next kill. INT. RED LEADER’S | Star Wars A New Hope
COCKPIT | A wary Red Leader looks about nervously. | Scene: RED LEADER (over headset) Stay there…  RED LEADER’S | Action: LUKE … oh-five; we’ll cover for you. RED LEADER (over headset) Stay there… INT. RED LEADER’S | Star Wars A New Hope
THE DEATH STAR | Laserbolts are flung from Vader’s TIE fighter, connecting with Red | Scene: Red Leader fights to gain control of his ship.  SPACE AROUND | Action: presses their firing buttons. INT. RED LEADER’S COCKPIT Red Leader fights to gain control of his ship. EXT. SPACE AROUND | Star Wars A New Hope
DEATH STAR | Grand Moff Tarkin casts a sinister eye at the computer screen. | Action: Luke looks out the window of his X-wing at the explosion far below. For the first time, he feels the helplessness of his situation. INT. | Star Wars A New Hope
STAR | The two X-wings peel off against a background of stars and dive | Scene: WEDGE Right with you, boss.  SPACE AROUND THE DEATH | Action: The horizon twists as Wedge begins to pull out. WEDGE Right with you, boss. EXT. SPACE AROUND THE DEATH | Star Wars A New Hope
AROUND THE DEATH STAR | The three X-wings move in, unleashing a barrage of laserfire. | Scene: LUKE It’ll be just like Beggar’s Canyon back home.  SPACE | Action: LUKE It’ll be just like Beggar’s Canyon back home. EXT. SPACE Laserbolts are returned from the Death Star. INT. BIGGS’ COCKPIT | Star Wars A New Hope
COCKPIT | Flak and laserbolts flash outside Luke’s cockpit window. | Scene: BIGGS We’ll stay back far enough to cover you.  LUKE’S | Action: Luke’s lifelong friend struggles with his controls. BIGGS We’ll stay back far enough to cover you. INT. LUKE’S | Star Wars A New Hope
COCKPIT | Wedge looks excitedly about for any sign of the TIE fighters. | Scene: LUKE Watch yourself! Increase speed full throttle!  WEDGE’S | Action: moment and then moves his targeting device into position. LUKE Watch yourself! Increase speed full throttle! INT. WEDGE’S | Star Wars A New Hope
DEATH STAR SURFACE | Luke breaks into a nervous sweat as the laserfire is returned, nicking | Scene: Luke’s X - wing streaks through the trench, firing lasers.  LUKE’S | Action: Luke’s X-wing streaks through the trench, firing lasers. INT. LUKE’S one of his wings close to the engine. | Star Wars A New Hope
COCKPIT | Vader adjusts his controls and fires laserbolts at two X-wings flying | Scene: Vader and his wingmen zoom closer.  DARTH VADER’S | Action: Vader and his wingmen zoom closer. INT. DARTH VADER’S down the trench. He scores a direct hit on Wedge. INT. MASSASSI | Star Wars A New Hope
COCKPIT | Vader watches the escape but issues a command to his wingmen. | Scene: WEDGE Sorry!  SPACE AROUND THE DEATH STAR | Action: WEDGE Sorry! EXT. SPACE AROUND THE DEATH STAR Wedge pulls his crippled X-wing back away from the battle. INT. | Star Wars A New Hope
DEATH STAR | Luke’s X-wing speeds down the trench; the three TIE fighters, still in | Scene: VADER Let him go! Stay on the leader!  SPACE AROUND THE | Action: Vader watches the escape but issues a command to his wingmen. VADER Let him go! Stay on the leader! EXT. SPACE AROUND THE | Star Wars A New Hope
FIGHTER | Ignoring the bumpy ride, flak, and lasers, a beeping Artoo-Detoo | Scene: LUKE Artoo, try and increase the power!  LUKE’S X - WING | Action: Luke looks back anxiously at little Artoo. LUKE Artoo, try and increase the power! EXT. LUKE’S X-WING | Star Wars A New Hope
FIGHTER | Luke looks into his targeting device. He moves it away for a moment | Scene: Biggs looks around at the TIE fighters.  LUKE’S X - WING | Action: Vader adjusts his control stick. INT. BIGGS’ COCKPIT Biggs looks around at the TIE fighters. INT. LUKE’S X-WING | Star Wars A New Hope
DEATH STAR | Vader and his wingmen race through the Death Star trench. Biggs | Scene: BIGGS (over headset) Hurry up, Luke!  SPACE AROUND THE | Action: and ponders its use. He looks back into the computer targeter. BIGGS (over headset) Hurry up, Luke! EXT. SPACE AROUND THE | Star Wars A New Hope
COCKPIT | Biggs sees the TIE fighter aiming at him. | Scene: moves in to cover for Luke, but Vader gains on him.  BIGGS’ | Action: Vader and his wingmen race through the Death Star trench. Biggs moves in to cover for Luke, but Vader gains on him. INT. BIGGS’ | Star Wars A New Hope
SURFACE OF THE DEATH STAR | Biggs’ ship bursts into a million flaming bits and scatters across the | Scene: Vader squeezes the fire button on his controls.  BIGGS’ | Action: Biggs’ cockpit explodes around him, lighting him in red. EXT. surface. INT. MASSASSI OUTPOST – WAR ROOM | Star Wars A New Hope
COCKPIT | Luke lines up the yellow cross-hair lines of the targeting device’s | Scene: Luke’s ship charges down the trench.  LUKE’S X - WING – | Action: Luke’s ship charges down the trench. INT. LUKE’S X-WING – screen. He looks into the targeting device, then starts at a voice he | Star Wars A New Hope
DEATH STAR | Luke looks up, then starts to look back into the targeting device. He | Scene: The Death Star trench zooms by.  LUKE’S X - WING – COCKPIT | Action: BEN’S VOICE Use the Force, Luke. EXT. SURFACE OF THE The Death Star trench zooms by. INT. LUKE’S X-WING – COCKPIT | Star Wars A New Hope
DEATH STAR | Luke looks to the targeting device, then away as he hears Ben’s | Scene: Vader follows Luke’s X - wing down the trench.  LUKE’S X - WING | Action: Vader follows Luke’s X-wing down the trench. INT. LUKE’S X-WING | Star Wars A New Hope
WAR ROOM | Leia and the others stand watching the projected screen. | Scene: The targeting device moves away.  MASSASSI OUTPOST – | Action: Luke’s hand reaches for the control panel and presses the button. The targeting device moves away. INT. MASSASSI OUTPOST – | Star Wars A New Hope
FIGHTER | Artoo-Detoo turns his head from side to side, beeping in | Scene: Luke looks at the Death Star surface streaking by.  LUKE’S XWING | Action: Luke looks at the Death Star surface streaking by. EXT. LUKE’S XWING anticipation. EXT. SURFACE OF THE DEATH STAR | Star Wars A New Hope
X-WING FIGHTER | Smoke billows out around little Artoo and sparks begin to fly. | Scene: Luke looks frantically back over his shoulder at Artoo.  LUKE’S | Action: Luke looks frantically back over his shoulder at Artoo. EXT. LUKE’S LUKE I’ve lost Artoo! | Star Wars A New Hope
ROOM | Leia and the others stare intently at the projected screen, while | Scene: Artoo’s beeping sounds die out.  MASSASSI OUTPOST – WAR | Action: LUKE I’ve lost Artoo! Artoo’s beeping sounds die out. INT. MASSASSI OUTPOST – WAR | Star Wars A New Hope
