character,character_normalized,dialogue,context,character_state,dialogue_type,motivation,line_number,scene,movie,word_count,sentiment
TROOPER,Trooper,She’ll be all right. Inform Lord Vader we have a,General conversation,Positive/Agreeable,Statement,Supportive,144,Unknown,Star Wars A New Hope,10,positive
THREEPIO,C-3PO,"Hey, you’re not permitted in there. It’s restricted. You’ll","Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,150,Unknown,Star Wars A New Hope,9,negative
THREEPIO,C-3PO,"Don’t call me a mindless philosopher, you overweight","Protocol droid formality, worry",Neutral,Statement,Conversational,153,Unknown,Star Wars A New Hope,8,neutral
THREEPIO,C-3PO,Secret mission? What plans? What are you talking,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,157,Unknown,Star Wars A New Hope,8,neutral
THREEPIO,C-3PO,I’m going to regret this. INT. REBEL BLOCKADE,"Protocol droid formality, worry",Neutral,Statement,Conversational,164,Unknown,Star Wars A New Hope,8,neutral
CHIEF,Chief,PILOT There goes another one.,General conversation,Resistant/Negative,Statement,Opposing,171,Unknown,Star Wars A New Hope,5,negative
CAPTAIN,Captain,Hold your fire. There are no life forms. It must have,General conversation,Resistant/Negative,Statement,Opposing,172,Unknown,Star Wars A New Hope,11,negative
THREEPIO,C-3PO,"That’s funny, the damage doesn’t look as bad from out","Protocol droid formality, worry",Neutral,Statement,Conversational,176,Unknown,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,Are you sure this things safe? EXT. TATOOINE –,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,179,Unknown,Star Wars A New Hope,9,neutral
ANCHORHEAD,Anchorhead,SETTLEMENT – POWER STATION – DAY,General conversation,Urgent/Commanding,Exclamation,Assertive,180,Unknown,Star Wars A New Hope,6,neutral
WOMAN,Woman,I’ve told you kids to slow down!,General conversation,Urgent/Commanding,Exclamation,Assertive,185,Unknown,Star Wars A New Hope,7,neutral
FIXER,Fixer,Did I hear a young noise blast through here?,General conversation,Inquisitive,Question,Seeking information,191,Unknown,Star Wars A New Hope,9,neutral
CAMIE,Camie,It was just Wormie on another rampage.,General conversation,Resistant/Negative,Statement,Opposing,192,Unknown,Star Wars A New Hope,7,negative
LUKE,Luke Skywalker,Shape it up you guys!… Biggs?,"Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,199,Unknown,Star Wars A New Hope,6,neutral
LUKE,Luke Skywalker,I didn’t know you were back! When did you get in?,"Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,202,Unknown,Star Wars A New Hope,11,neutral
BIGGS,Biggs Darklighter,"Just now. I wanted to surprise you, hot shot. I thought you’d",General conversation,Resistant/Negative,Statement,Opposing,203,Unknown,Star Wars A New Hope,12,negative
LUKE,Luke Skywalker,The Academy didn’t change you much… but you’re back so,"Jedi training, heroic journey",Neutral,Statement,Conversational,205,Unknown,Star Wars A New Hope,10,neutral
BIGGS,Biggs Darklighter,Of course I got it. Signed aboard The Rand Ecliptic last,General conversation,Neutral,Statement,Conversational,208,Unknown,Star Wars A New Hope,11,neutral
LUKE,Luke Skywalker,I almost forgot. There’s a battle going on! Right here in our,"Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,214,Unknown,Star Wars A New Hope,12,neutral
DEAK,Deak,Not again! Forget it. EXT. TATOOINE – ANCHORHEAD –,General conversation,Urgent/Commanding,Exclamation,Assertive,216,Unknown,Star Wars A New Hope,9,neutral
SETTLEMENT,Settlement,– POWER STATION – DAY,General conversation,Urgent/Commanding,Exclamation,Assertive,217,Unknown,Star Wars A New Hope,5,neutral
LUKE,Luke Skywalker,There they are!,"Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,221,Unknown,Star Wars A New Hope,3,neutral
BIGGS,Biggs Darklighter,"That’s no battle, hot shot… they’re just sitting there! Probably",General conversation,Urgent/Commanding,Exclamation,Assertive,225,Unknown,Star Wars A New Hope,10,neutral
LUKE,Luke Skywalker,But there was a lot of firing earlier…,"Jedi training, heroic journey",Neutral,Statement,Conversational,227,Unknown,Star Wars A New Hope,8,neutral
LUKE,Luke Skywalker,"Hey, easy with those…","Jedi training, heroic journey",Neutral,Statement,Conversational,230,Unknown,Star Wars A New Hope,4,neutral
CAMIE,Camie,"Don’t worry about it, Wormie.",General conversation,Neutral,Statement,Conversational,231,Unknown,Star Wars A New Hope,5,neutral
FIXER,Fixer,"I keep telling you, the Rebellion is a long way from here. I",General conversation,Neutral,Statement,Conversational,234,Unknown,Star Wars A New Hope,13,neutral
LEIA,Princess Leia,"Lord Vader, I should have known. Only you could be so bold.","Rebel leadership, royal dignity",Resistant/Negative,Statement,Opposing,246,Unknown,Star Wars A New Hope,12,negative
VADER,Darth Vader,"Don’t play games with me, Your Highness. You weren’t on","Dark Side presence, Imperial authority",Neutral,Statement,Conversational,249,Unknown,Star Wars A New Hope,10,neutral
LEIA,Princess Leia,I don’t know what you’re talking about. I’m a member of the,"Rebel leadership, royal dignity",Resistant/Negative,Statement,Opposing,254,Unknown,Star Wars A New Hope,12,negative
VADER,Darth Vader,You’re a part of the Rebel Alliance … and a traitor. Take her,"Dark Side presence, Imperial authority",Neutral,Statement,Conversational,256,Unknown,Star Wars A New Hope,13,neutral
COMMANDER,Commander,"Holding her is dangerous. If word of this gets out, it",General conversation,Neutral,Statement,Conversational,261,Unknown,Star Wars A New Hope,11,neutral
VADER,Darth Vader,I have traced the Rebel spies to her. Now she is my only,"Dark Side presence, Imperial authority",Resistant/Negative,Statement,Opposing,263,Unknown,Star Wars A New Hope,13,negative
COMMANDER,Commander,She’ll die before she’ll tell you anything.,General conversation,Neutral,Statement,Conversational,265,Unknown,Star Wars A New Hope,7,neutral
VADER,Darth Vader,Leave that to me. Send a distress signal and then inform the,"Dark Side presence, Imperial authority",Neutral,Statement,Conversational,266,Unknown,Star Wars A New Hope,12,neutral
SECOND,Second,"OFFICER Lord Vader, the battle station plans are not",General conversation,Resistant/Negative,Statement,Opposing,270,Unknown,Star Wars A New Hope,9,negative
VADER,Darth Vader,She must have hidden the plans in the escape pod. Send a,"Dark Side presence, Imperial authority",Neutral,Statement,Conversational,274,Unknown,Star Wars A New Hope,12,neutral
COMMANDER,Commander,"Yes, sir. EXT. SPACE",General conversation,Positive/Agreeable,Statement,Supportive,277,Unknown,Star Wars A New Hope,4,positive
THREEPIO,C-3PO,How did I get into this mess? I really don’t know how. We,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,285,Unknown,Star Wars A New Hope,13,neutral
THREEPIO,C-3PO,I’ve got to rest before I fall apart. My joints are almost,"Protocol droid formality, worry",Neutral,Statement,Conversational,288,Unknown,Star Wars A New Hope,12,neutral
THREEPIO,C-3PO,What a desolate place this is.,"Protocol droid formality, worry",Neutral,Statement,Conversational,291,Unknown,Star Wars A New Hope,6,neutral
THREEPIO,C-3PO,Where are you going?,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,294,Unknown,Star Wars A New Hope,4,neutral
THREEPIO,C-3PO,"Well, I’m not going that way. It’s much too rocky. This","Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,296,Unknown,Star Wars A New Hope,11,negative
THREEPIO,C-3PO,What makes you think there are settlements over there?,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,299,Unknown,Star Wars A New Hope,9,neutral
THREEPIO,C-3PO,Don’t get technical with me.,"Protocol droid formality, worry",Neutral,Statement,Conversational,301,Unknown,Star Wars A New Hope,5,neutral
THREEPIO,C-3PO,What mission? What are you talking about? I’ve had just,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,303,Unknown,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,"And don’t let me catch you following me begging for help,","Protocol droid formality, worry",Requesting,Statement,Seeking assistance,308,Unknown,Star Wars A New Hope,11,neutral
THREEPIO,C-3PO,No more adventures. I’m not going that way.,"Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,312,Unknown,Star Wars A New Hope,8,negative
THREEPIO,C-3PO,That malfunctioning little twerp. This is all his fault! He,"Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,318,Unknown,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,"Wait, what’s that? A transport! I’m saved!","Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,323,Unknown,Star Wars A New Hope,7,neutral
THREEPIO,C-3PO,"Over here! Help! Please, help!","Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,326,Unknown,Star Wars A New Hope,5,neutral
STATION,Station,– DAY,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,328,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
LUKE,Luke Skywalker,"(Very animated) … so I cut off my power, shut down the","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,331,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
BIGGS,Biggs Darklighter,You ought to take it a little easy Luke. You may be the,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,337,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
LUKE,Luke Skywalker,Look who’s talking. Now that you’ve been around those,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Resistant/Negative,Statement,Opposing,341,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,negative
BIGGS,Biggs Darklighter,I’ve missed you kid.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,344,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
LUKE,Luke Skywalker,"Well, things haven’t been the same since you left, Biggs. It’s","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,345,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
BIGGS,Biggs Darklighter,"Luke, I didn’t come back just to say goodbye… I shouldn’t",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Positive/Agreeable,Statement,Supportive,348,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,positive
LUKE,Luke Skywalker,What are you talking about?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,352,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
BIGGS,Biggs Darklighter,I made some friends at the Academy. (he whispers) … when,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,353,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
LUKE,Luke Skywalker,Join the Rebellion?! Are you kidding! How?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,357,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
BIGGS,Biggs Darklighter,Quiet down will ya! You got a mouth bigger than a meteor,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,358,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,I’m sorry. I’m quiet. (he whispers) Listen how quiet I am. You,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,360,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
BIGGS,Biggs Darklighter,My friend has a friend on Bestine who might help us make,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Requesting,Statement,Seeking assistance,363,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,You’re crazy! You could wander around forever trying to find,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,365,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
BIGGS,Biggs Darklighter,"I know it’s a long shot, but if I don’t find them I’ll do what I can",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,367,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,17,negative
LUKE,Luke Skywalker,And I’m stuck here…,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,371,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
BIGGS,Biggs Darklighter,I thought you were going to the Academy next term. You’ll get,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,372,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,Not likely! I had to cancel my application. There has been a,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,374,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
BIGGS,Biggs Darklighter,Your uncle could hold off a whole colony of Sand People with,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,377,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,"I know, but he’s got enough vaporators going to make the","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Resistant/Negative,Statement,Opposing,379,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,negative
BIGGS,Biggs Darklighter,"I feel for you, Luke, you’re going to have to learn what seems",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,382,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
LUKE,Luke Skywalker,It couldn’t happen here. You said it yourself. The Empire won’t,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,388,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
BIGGS,Biggs Darklighter,Things always change.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,390,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
LUKE,Luke Skywalker,I wish I was going… Are you going to be around long?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,391,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
BIGGS,Biggs Darklighter,"No, I’m leaving in the morning…",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,392,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,negative
LUKE,Luke Skywalker,Then I guess I won’t see you.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,393,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
BIGGS,Biggs Darklighter,Maybe someday… I’ll keep a lookout.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,394,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
LUKE,Luke Skywalker,"Well, I’ll be at the Academy next season… after that who","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,395,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
BIGGS,Biggs Darklighter,"So long, Luke.",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,398,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
THREEPIO,C-3PO,Artoo-Detoo! It’s you! It’s you!,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,441,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
TATOOINE,Tatooine,– ROCK CANYON – SANDCRAWLER – SUNSET,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,443,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
TATOOINE,Tatooine,– DESERT – DAY,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,446,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
FIRST,First,TROOPER Someone was in the pod. The tracks go off in this,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,450,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
SECOND,Second,"TROOPER Look, sir – droids. EXT. TATOOINE – DUNES",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,454,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
THREEPIO,C-3PO,Wake up! Wake up!,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,459,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
THREEPIO,C-3PO,We’re doomed.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,466,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
THREEPIO,C-3PO,Do you think they’ll melt us down?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Inquisitive,Question,Seeking information,468,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
THREEPIO,C-3PO,Don’t shoot! Don’t shoot! Will this never end? EXT.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,470,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
TATOOINE,Tatooine,– DESERT – LARS HOMESTEAD – AFTERNOON,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,471,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
BERU,Beru,"Luke, tell Owen that if he gets a translator to be sure it",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,490,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
LUKE,Luke Skywalker,It looks like we don’t have much of a choice but I’ll remind him.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,492,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,14,neutral
OWEN,Owen,I have no need for a protocol droid.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Requesting,Statement,Seeking assistance,495,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
THREEPIO,C-3PO,(quickly) Sir – not in an environment such as this – that’s,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,496,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,negative
OWEN,Owen,What I really need is a droid that understands the,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Requesting,Statement,Seeking assistance,499,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,Vaporators! Sir – My first job was programming binary,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,501,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
OWEN,Owen,Do you speak Bocce?,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,503,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
THREEPIO,C-3PO,"Of course I can, sir. It’s like a second language for me…","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,504,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
OWEN,Owen,All right; shut up! (turning to Jawa) I’ll take this one.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,506,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
THREEPIO,C-3PO,"Shutting up, sir.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,507,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
OWEN,Owen,"Luke, take these two over to the garage, will you? I want you",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,508,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
LUKE,Luke Skywalker,But I was going into Toshi Station to pick up some power,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,510,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
OWEN,Owen,You can waste time with your friends when your chores,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,512,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
LUKE,Luke Skywalker,"All right, come on! And the red one, come on. Well, come","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,514,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,Uncle Owen…,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,524,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
OWEN,Owen,Yeah?,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,525,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,1,neutral
LUKE,Luke Skywalker,This R2 unit has a bad motivator. Look!,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,526,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
OWEN,Owen,"(to the head Jawa) Hey, what’re you trying to push on us?",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,527,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
